Numéro du poste,Circonscription,Commune,Etablissement,RNE,Nature,Spécialité,Nb. Cl.,Dont Cl. Spé.,Nb supports mis au mouvement,Nb supports inaccessibles,Total,Dont nb supports vacants,Coords,Trouvé
18012,FONTAINEBLEAU,ACHERES LA FORET,VAUBLAS                       ,0770112D,DE - Directeur d'école,D0000 - Direction,4,0,1,0,1,0,"(48.3480813, 2.5646152)",True
18013,FONTAINEBLEAU,ACHERES LA FORET,VAUBLAS                       ,0770112D,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,1,2,0,"(48.3480813, 2.5646152)",True
18014,FONTAINEBLEAU,ACHERES LA FORET,VAUBLAS                       ,0770112D,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.3480813, 2.5646152)",True
18433,COULOMMIERS,AMILLIS,,0770347J,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,1,"(48.7411246, 3.1281437)",True
18434,COULOMMIERS,AMILLIS,,0770347J,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.7411246, 3.1281437)",True
18016,FONTAINEBLEAU,AMPONVILLE,,0770113E,DE - Directeur d'école,D0000 - Direction,1,0,1,0,1,0,"(48.2784979, 2.5295212)",True
19045,DAMMARIE-LES-LYS,ANDREZEL,,0770701U,DE - Directeur d'école,D0000 - Direction,3,0,1,0,1,0,"(48.611785, 2.8145866)",True
174719,DAMMARIE-LES-LYS,ANDREZEL,,0770701U,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,2,0,2,1,"(48.611785, 2.8145866)",True
211320,DAMMARIE-LES-LYS,ANDREZEL,,0770701U,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.611785, 2.8145866)",True
18104,CLAYE SOUILLY,ANNET SUR MARNE,LEFORT-M.AUZIAS               ,0770172U,DE - Directeur d'école,D0000 - Direction,7,0,1,0,1,0,"(48.9262758, 2.7213533)",True
21316,CLAYE SOUILLY,ANNET SUR MARNE,VASARELY                      ,0772634V,DE - Directeur d'école,D0000 - Direction,5,0,1,0,1,1,"(48.9238863, 2.712311)",True
18105,CLAYE SOUILLY,ANNET SUR MARNE,LEFORT-M.AUZIAS               ,0770172U,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,4,0,4,0,"(48.9262758, 2.7213533)",True
21317,CLAYE SOUILLY,ANNET SUR MARNE,VASARELY                      ,0772634V,ECEL - Enseignant classe élémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.9238863, 2.712311)",True
18106,CLAYE SOUILLY,ANNET SUR MARNE,LEFORT-M.AUZIAS               ,0770172U,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,0,"(48.9262758, 2.7213533)",True
21318,CLAYE SOUILLY,ANNET SUR MARNE,VASARELY                      ,0772634V,ECMA - Enseignant classe préélémentaire,G0000 - Sans spécialité,0,0,2,0,2,1,"(48.9238863, 2.712311)",True
211321,CLAYE SOUILLY,ANNET SUR MARNE,LEFORT-M.AUZIAS               ,0770172U,TR - Titulaire remplaçant,G0000 - Sans spécialité,0,0,1,0,1,0,"(48.9262758, 2.7213533)",True
18887,FONTAINEBLEAU,ARBONNE LA FORET,SAINT JUST                    ,0770605P,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.4137065, 2.5650625)",True
21246,FONTAINEBLEAU,ARBONNE LA FORET,KERGOMARD                     ,0772553G,DE - Directeur d'école,D0000 - Direction,2,0,1,0,1,0,"(48.4153966, 2.5642916)",True
